Event;"Order #";Total;Discounts;Paid;"Payment date (UTC)";Tickets;utm_source;utm_medium;utm_campaign;utm_id;utm_content;utm_term
"Revenge of the 90's House Party Edition";1639957;20;0;20.00;"2026-01-27 16:07:22";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1639959;40;0;40.00;"2026-01-27 16:08:34";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640003;20;0;20.00;"2026-01-27 16:34:15";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640035;40;0;40.00;"2026-01-27 16:45:43";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640050;80;0;80.00;"2026-01-27 16:53:18";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640048;20;0;20.00;"2026-01-27 16:56:05";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640059;80;0;80.00;"2026-01-27 16:56:25";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640032;60;0;60.00;"2026-01-27 17:04:07";3;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640089;40;0;40.00;"2026-01-27 17:16:41";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640114;40;0;40.00;"2026-01-27 17:35:06";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640124;20;0;20.00;"2026-01-27 17:39:13";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640129;40;0;40.00;"2026-01-27 17:40:39";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640133;80;0;80.00;"2026-01-27 17:41:51";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640146;80;0;80.00;"2026-01-27 17:47:20";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640305;140;0;140.00;"2026-01-27 18:21:47";7;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640325;80;0;80.00;"2026-01-27 18:23:53";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640380;20;0;20.00;"2026-01-27 18:31:14";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640489;80;0;80.00;"2026-01-27 18:50:17";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640498;20;0;20.00;"2026-01-27 18:51:28";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640589;40;0;40.00;"2026-01-27 19:11:00";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640602;100;0;100.00;"2026-01-27 19:11:04";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640708;80;0;80.00;"2026-01-27 19:34:32";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640838;80;0;80.00;"2026-01-27 20:07:40";4;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640860;60;0;60.00;"2026-01-27 20:11:06";3;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640871;20;0;20.00;"2026-01-27 20:14:25";1;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640882;40;0;40.00;"2026-01-27 20:16:26";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640884;40;0;40.00;"2026-01-27 20:17:31";2;ig;social;;;link_in_bio;
"Revenge of the 90's House Party Edition";1640932;20;0;20.00;"2026-01-27 20:34:18";1;ig;social;;;link_in_bio;
